Geography,concat_no_state
District of Columbia,Mask.Use - Occasional.Never
District of Columbia,Mental.Health - Excellent.Good
District of Columbia,Mental.Health - Fair.Poor
District of Columbia,Rural.Urban - Urban
District of Columbia,Political - Democrat
District of Columbia,Political - Unknown
District of Columbia,Pov.Status - <$75k
District of Columbia,Pov.Status - >=$75k
District of Columbia,Pov.Status - Below poverty
District of Columbia,Pov.Status - Unknown
District of Columbia,Pregnancy - Not pregnant
District of Columbia,Pregnancy - Trying to get pregnant
District of Columbia,Race.4lvl - Black
District of Columbia,Race.4lvl - Hispanic
District of Columbia,Race.4lvl - Other
District of Columbia,Race.4lvl - White
District of Columbia,Flu.Vacc - No
District of Columbia,Flu.Vacc - Yes
District of Columbia,Past.Vaccin - No
District of Columbia,Past.Vaccin - Yes
District of Columbia,Racial.Equity - Better
District of Columbia,Racial.Equity - Dont know
District of Columbia,Racial.Equity - Equal
District of Columbia,Racial.Equity - Worse
District of Columbia,Sex - Female
District of Columbia,Sex - Male
District of Columbia,S.Orientation - Dont know
District of Columbia,S.Orientation - LGB
District of Columbia,S.Orientation - Hetero
District of Columbia,SVI - Moderate
District of Columbia,SVI - Unknown
District of Columbia,Non.Englsh.Language - No
District of Columbia,Non.Englsh.Language - Yes
District of Columbia,Work.School - No
District of Columbia,Work.School - Unemployed
District of Columbia,Work.School - Yes
Florida,Age - 18 – 49
Florida,Age - 50 – 64
Florida,Age - 65+
Florida,"Age.Race - 18 – 49, Black"
Florida,"Age.Race - 18 – 49, Hispanic"
Florida,"Age.Race - 18 – 49, Other"
Florida,"Age.Race - 18 – 49, White"
Florida,"Age.Race - 50 – 64, Black"
Florida,"Age.Race - 50 – 64, Hispanic"
Florida,"Age.Race - 50 – 64, Other"
Florida,"Age.Race - 50 – 64, White"
Florida,"Age.Race - 65+, Black"
Florida,"Age.Race - 65+, Hispanic"
Florida,"Age.Race - 65+, White"
Florida,18+ Adults - 18+ Adults
Florida,US.Born - US Born
Florida,US.Born - Not US Born
Florida,Fr.Fam.Vaccd - Many
Florida,Fr.Fam.Vaccd - No_some
Florida,Vacc.Info.Seek - Often.Sometimes
Florida,Vacc.Info.Seek - Rarely.Never
Florida,Covid.Concern - A little_not
Florida,Covid.Concern - Very_Moderately
Florida,Vaccine.Confiden - Not at all_Somewhat
Florida,Vaccine.Confiden - Very
Florida,Vaccine.Imprtnt - A little_not at all
Florida,Vaccine.Imprtnt - Somewhat_very
Florida,Disability - No
Florida,Disability - Yes
Florida,Ess.Wrkr.grp - Ess.Healthcare
Florida,Ess.Wrkr.grp - Ess.Other
Florida,Ess.Wrkr.grp - Frontline.Other
Florida,Ess.Wrkr.grp - Not.Ess.Wrkr
Florida,Ess.Wrkr.grp - School.Childcare
Florida,Past.Covid - No
Florida,Past.Covid - Yes
Florida,G.Identity - Cisgender
Florida,G.Identity - Dont know
Florida,G.Identity - TG/Non bin
Florida,Prim.Care.Providr.Status - No
Florida,Prim.Care.Providr.Status - Yes
Florida,Comorbidity - No
Florida,Comorbidity - Yes
Florida,Dr.Recommend.Boostr - No
Florida,Dr.Recommend.Vacc - No
Florida,Dr.Recommend.Vacc - Yes
Florida,Insurance - Insured
Florida,Insurance - Not insured
Florida,Language - English
Florida,Language - Spanish
Florida,Mask.Use - Always.Often
Florida,Mask.Use - Occasional.Never
Florida,Mental.Health - Excellent.Good
Florida,Mental.Health - Fair.Poor
Florida,Rural.Urban - Rural
Florida,Rural.Urban - Suburban
Florida,Rural.Urban - Urban
Florida,Political - Democrat
Florida,Political - None
Florida,Political - Unknown
Florida,Political - Republican
Florida,Pov.Status - <$75k
Florida,Pov.Status - >=$75k
Florida,Pov.Status - Below poverty
Florida,Pov.Status - Unknown
Florida,Pregnancy - Not pregnant
Florida,Race.4lvl - Black
Florida,Race.4lvl - Hispanic
Florida,Race.4lvl - Other
Florida,Race.4lvl - White
Florida,Flu.Vacc - No
Florida,Flu.Vacc - Yes
Florida,Past.Vaccin - No
Florida,Past.Vaccin - Yes
Florida,Racial.Equity - Better
Florida,Racial.Equity - Dont know
Florida,Racial.Equity - Equal
Florida,Racial.Equity - Worse
Florida,Sex - Female
Florida,Sex - Male
Florida,S.Orientation - Dont know
Florida,S.Orientation - LGB
Florida,S.Orientation - Hetero
Florida,SVI - High
Florida,SVI - Low
Florida,SVI - Moderate
Florida,SVI - Unknown
Florida,Non.Englsh.Language - No
Florida,Non.Englsh.Language - Yes
Florida,Work.School - No
Florida,Work.School - Unemployed
Florida,Work.School - Yes
Georgia,Age - 18 – 49
Georgia,Age - 50 – 64
Georgia,Age - 65+
Georgia,"Age.Race - 18 – 49, Black"
Georgia,"Age.Race - 18 – 49, Hispanic"
Georgia,"Age.Race - 18 – 49, Other"
Georgia,"Age.Race - 18 – 49, White"
Georgia,"Age.Race - 50 – 64, Black"
Georgia,"Age.Race - 50 – 64, Other"
Georgia,"Age.Race - 50 – 64, White"
Georgia,"Age.Race - 65+, Black"
Georgia,"Age.Race - 65+, White"
Georgia,18+ Adults - 18+ Adults
Georgia,US.Born - US Born
Georgia,US.Born - Not US Born
Georgia,Fr.Fam.Vaccd - Many
Georgia,Fr.Fam.Vaccd - No_some
Georgia,Vacc.Info.Seek - Often.Sometimes
Georgia,Vacc.Info.Seek - Rarely.Never
Georgia,Covid.Concern - A little_not
Georgia,Covid.Concern - Very_Moderately
Georgia,Vaccine.Confiden - Not at all_Somewhat
Georgia,Vaccine.Confiden - Very
Georgia,Vaccine.Imprtnt - A little_not at all
Georgia,Vaccine.Imprtnt - Somewhat_very
Georgia,Disability - No
Georgia,Disability - Yes
Georgia,Ess.Wrkr.grp - Ess.Healthcare
Georgia,Ess.Wrkr.grp - Ess.Other
Georgia,Ess.Wrkr.grp - Frontline.Other
Georgia,Ess.Wrkr.grp - Not.Ess.Wrkr
Georgia,Ess.Wrkr.grp - School.Childcare
Georgia,Past.Covid - No
Georgia,Past.Covid - Yes
Georgia,G.Identity - Cisgender
Georgia,G.Identity - Dont know
Georgia,G.Identity - TG/Non bin
Georgia,Prim.Care.Providr.Status - No
Georgia,Prim.Care.Providr.Status - Yes
Georgia,Comorbidity - No
Georgia,Comorbidity - Yes
Georgia,Dr.Recommend.Boostr - No
Georgia,Dr.Recommend.Vacc - No
Georgia,Dr.Recommend.Vacc - Yes
Georgia,Insurance - Insured
Georgia,Insurance - Not insured
Georgia,Language - English
Georgia,Language - Spanish
Georgia,Mask.Use - Always.Often
Georgia,Mask.Use - Occasional.Never
Georgia,Mental.Health - Excellent.Good
Georgia,Mental.Health - Fair.Poor
Georgia,Rural.Urban - Rural
Georgia,Rural.Urban - Suburban
Georgia,Rural.Urban - Urban
Georgia,Political - Democrat
Georgia,Political - None
Georgia,Political - Unknown
Georgia,Political - Republican
Georgia,Pov.Status - <$75k
Georgia,Pov.Status - >=$75k
Georgia,Pov.Status - Below poverty
Georgia,Pov.Status - Unknown
Georgia,Pregnancy - Not pregnant
Georgia,Race.4lvl - Black
Georgia,Race.4lvl - Hispanic
Georgia,Race.4lvl - Other
Georgia,Race.4lvl - White
Georgia,Flu.Vacc - No
Georgia,Flu.Vacc - Yes
Georgia,Past.Vaccin - No
Georgia,Past.Vaccin - Yes
Georgia,Racial.Equity - Better
Georgia,Racial.Equity - Dont know
Georgia,Racial.Equity - Equal
Georgia,Racial.Equity - Worse
Georgia,Sex - Female
Georgia,Sex - Male
Georgia,S.Orientation - Dont know
Georgia,S.Orientation - LGB
Georgia,S.Orientation - Hetero
Georgia,SVI - High
Georgia,SVI - Low
Georgia,SVI - Moderate
Georgia,SVI - Unknown
Georgia,Non.Englsh.Language - No
Georgia,Non.Englsh.Language - Yes
Georgia,Work.School - No
Georgia,Work.School - Unemployed
Georgia,Work.School - Yes
Guam,Age - 18 – 49
Guam,Age - 50 – 64
Guam,Age - 65+
Guam,"Age.Race - 18 – 49, Black"
Guam,"Age.Race - 18 – 49, Hispanic"
Guam,"Age.Race - 18 – 49, Other"
Guam,"Age.Race - 18 – 49, White"
Guam,"Age.Race - 50 – 64, Hispanic"
Guam,"Age.Race - 50 – 64, Other"
Guam,"Age.Race - 50 – 64, White"
Guam,"Age.Race - 65+, Hispanic"
Guam,"Age.Race - 65+, Other"
Guam,"Age.Race - 65+, White"
Guam,18+ Adults - 18+ Adults
Guam,US.Born - US Born
Guam,US.Born - Not US Born
Guam,Fr.Fam.Vaccd - Many
Guam,Fr.Fam.Vaccd - No_some
Guam,Vacc.Info.Seek - Often.Sometimes
Guam,Vacc.Info.Seek - Rarely.Never
Guam,Covid.Concern - A little_not
Guam,Covid.Concern - Very_Moderately
Guam,Vaccine.Confiden - Not at all_Somewhat
Guam,Vaccine.Confiden - Very
Guam,Vaccine.Imprtnt - A little_not at all
Guam,Vaccine.Imprtnt - Somewhat_very
Guam,Disability - No
Guam,Disability - Yes
Guam,Ess.Wrkr.grp - Ess.Healthcare
Guam,Ess.Wrkr.grp - Ess.Other
Guam,Ess.Wrkr.grp - Frontline.Other
Guam,Ess.Wrkr.grp - Not.Ess.Wrkr
Guam,Ess.Wrkr.grp - School.Childcare
Guam,Past.Covid - No
Guam,Past.Covid - Yes
Guam,G.Identity - Cisgender
Guam,G.Identity - Dont know
Guam,G.Identity - TG/Non bin
Guam,Prim.Care.Providr.Status - No
Guam,Prim.Care.Providr.Status - Yes
Guam,Comorbidity - No
Guam,Comorbidity - Yes
Guam,Dr.Recommend.Boostr - No
Guam,Dr.Recommend.Vacc - No
Guam,Dr.Recommend.Vacc - Yes
Guam,Insurance - Insured
Guam,Insurance - Not insured
Guam,Language - English
Guam,Language - Other
Guam,Mask.Use - Always.Often
Guam,Mask.Use - Occasional.Never
Guam,Mental.Health - Excellent.Good
Guam,Mental.Health - Fair.Poor
Guam,Rural.Urban - Rural
Guam,Pov.Status - <$75k
Guam,Pov.Status - >=$75k
Guam,Pov.Status - Below poverty
Guam,Pov.Status - Unknown
Guam,Pregnancy - Breastfeeding
Guam,Pregnancy - Not pregnant
Guam,Pregnancy - Trying to get pregnant
Guam,Race.4lvl - Black
Guam,Race.4lvl - Hispanic
Guam,Race.4lvl - Other
Guam,Race.4lvl - White
Guam,Flu.Vacc - No
Guam,Flu.Vacc - Yes
Guam,Past.Vaccin - No
Guam,Past.Vaccin - Yes
Guam,Racial.Equity - Better
Guam,Racial.Equity - Dont know
Guam,Racial.Equity - Equal
Guam,Racial.Equity - Worse
Guam,Sex - Female
Guam,Sex - Male
Guam,S.Orientation - Dont know
Guam,S.Orientation - LGB
Guam,S.Orientation - Hetero
Guam,Non.Englsh.Language - No
Guam,Non.Englsh.Language - Yes
Guam,Work.School - No
Guam,Work.School - Unemployed
Guam,Work.School - Yes
Hawaii,Age - 18 – 49
Hawaii,Age - 50 – 64
Hawaii,Age - 65+
Hawaii,"Age.Race - 18 – 49, Hispanic"
Hawaii,"Age.Race - 18 – 49, Other"
Hawaii,"Age.Race - 18 – 49, White"
Hawaii,"Age.Race - 50 – 64, Hispanic"
Hawaii,"Age.Race - 50 – 64, Other"
Hawaii,"Age.Race - 50 – 64, White"
Hawaii,"Age.Race - 65+, Other"
Hawaii,"Age.Race - 65+, White"
Hawaii,18+ Adults - 18+ Adults
Hawaii,US.Born - US Born
Hawaii,US.Born - Not US Born
Hawaii,Fr.Fam.Vaccd - Many
Hawaii,Fr.Fam.Vaccd - No_some
Hawaii,Vacc.Info.Seek - Often.Sometimes
Hawaii,Vacc.Info.Seek - Rarely.Never
Hawaii,Covid.Concern - A little_not
Hawaii,Covid.Concern - Very_Moderately
Hawaii,Vaccine.Confiden - Not at all_Somewhat
Hawaii,Vaccine.Confiden - Very
Hawaii,Vaccine.Imprtnt - A little_not at all
Hawaii,Vaccine.Imprtnt - Somewhat_very
Hawaii,Disability - No
Hawaii,Disability - Yes
Hawaii,Ess.Wrkr.grp - Ess.Healthcare
Hawaii,Ess.Wrkr.grp - Ess.Other
Hawaii,Ess.Wrkr.grp - Frontline.Other
Hawaii,Ess.Wrkr.grp - Not.Ess.Wrkr
Hawaii,Ess.Wrkr.grp - School.Childcare
Hawaii,Past.Covid - No
Hawaii,Past.Covid - Yes
Hawaii,G.Identity - Cisgender
Hawaii,G.Identity - Dont know
Hawaii,G.Identity - TG/Non bin
Hawaii,Prim.Care.Providr.Status - No
Hawaii,Prim.Care.Providr.Status - Yes
Hawaii,Comorbidity - No
Hawaii,Comorbidity - Yes
Hawaii,Dr.Recommend.Boostr - No
Hawaii,Dr.Recommend.Vacc - No
Hawaii,Dr.Recommend.Vacc - Yes
Hawaii,Insurance - Insured
Hawaii,Insurance - Not insured
Hawaii,Language - English
Hawaii,Mask.Use - Always.Often
Hawaii,Mask.Use - Occasional.Never
Hawaii,Mental.Health - Excellent.Good
Hawaii,Mental.Health - Fair.Poor
Hawaii,Rural.Urban - Rural
Hawaii,Rural.Urban - Suburban
Hawaii,Rural.Urban - Urban
Hawaii,Political - Democrat
Hawaii,Political - Unknown
Hawaii,Pov.Status - <$75k
Hawaii,Pov.Status - >=$75k
Hawaii,Pov.Status - Below poverty
Hawaii,Pov.Status - Unknown
Hawaii,Pregnancy - Not pregnant
Hawaii,Race.4lvl - Black
Hawaii,Race.4lvl - Hispanic
Hawaii,Race.4lvl - Other
Hawaii,Race.4lvl - White
Hawaii,Flu.Vacc - No
Hawaii,Flu.Vacc - Yes
Hawaii,Past.Vaccin - No
Hawaii,Past.Vaccin - Yes
Hawaii,Racial.Equity - Better
Hawaii,Racial.Equity - Dont know
Hawaii,Racial.Equity - Equal
Hawaii,Racial.Equity - Worse
Hawaii,Sex - Female
Hawaii,Sex - Male
Hawaii,S.Orientation - Dont know
Hawaii,S.Orientation - LGB
Hawaii,S.Orientation - Hetero
Hawaii,SVI - Low
Hawaii,SVI - Moderate
Hawaii,SVI - Unknown
Hawaii,Non.Englsh.Language - No
Hawaii,Non.Englsh.Language - Yes
Hawaii,Work.School - No
Hawaii,Work.School - Unemployed
Hawaii,Work.School - Yes
Idaho,Age - 18 – 49
Idaho,Age - 50 – 64
Idaho,Age - 65+
Idaho,"Age.Race - 18 – 49, Hispanic"
Idaho,"Age.Race - 18 – 49, Other"
Idaho,"Age.Race - 18 – 49, White"
Idaho,"Age.Race - 50 – 64, White"
Idaho,"Age.Race - 65+, White"
Idaho,18+ Adults - 18+ Adults
Idaho,US.Born - US Born
Idaho,US.Born - Not US Born
Idaho,Fr.Fam.Vaccd - Many
Idaho,Fr.Fam.Vaccd - No_some
Idaho,Vacc.Info.Seek - Often.Sometimes
Idaho,Vacc.Info.Seek - Rarely.Never
Idaho,Covid.Concern - A little_not
Idaho,Covid.Concern - Very_Moderately
Idaho,Vaccine.Confiden - Not at all_Somewhat
Idaho,Vaccine.Confiden - Very
Idaho,Vaccine.Imprtnt - A little_not at all
Idaho,Vaccine.Imprtnt - Somewhat_very
Idaho,Disability - No
Idaho,Disability - Yes
Idaho,Ess.Wrkr.grp - Ess.Healthcare
Idaho,Ess.Wrkr.grp - Ess.Other
Idaho,Ess.Wrkr.grp - Frontline.Other
Idaho,Ess.Wrkr.grp - Not.Ess.Wrkr
Idaho,Ess.Wrkr.grp - School.Childcare
Idaho,Past.Covid - No
Idaho,Past.Covid - Yes
Idaho,G.Identity - Cisgender
Idaho,G.Identity - Dont know
Idaho,G.Identity - TG/Non bin
Idaho,Prim.Care.Providr.Status - No
Idaho,Prim.Care.Providr.Status - Yes
Idaho,Comorbidity - No
Idaho,Comorbidity - Yes
Idaho,Dr.Recommend.Boostr - No
Idaho,Dr.Recommend.Vacc - No
Idaho,Dr.Recommend.Vacc - Yes
Idaho,Insurance - Insured
Idaho,Insurance - Not insured
Idaho,Language - English
Idaho,Mask.Use - Always.Often
Idaho,Mask.Use - Occasional.Never
Idaho,Mental.Health - Excellent.Good
Idaho,Mental.Health - Fair.Poor
Idaho,Rural.Urban - Rural
Idaho,Rural.Urban - Suburban
Idaho,Rural.Urban - Urban
Idaho,Political - Democrat
Idaho,Political - None
Idaho,Political - Unknown
Idaho,Political - Republican
Idaho,Pov.Status - <$75k
Idaho,Pov.Status - >=$75k
Idaho,Pov.Status - Below poverty
Idaho,Pov.Status - Unknown
Idaho,Pregnancy - Not pregnant
Idaho,Race.4lvl - Hispanic
Idaho,Race.4lvl - Other
Idaho,Race.4lvl - White
Idaho,Flu.Vacc - No
Idaho,Flu.Vacc - Yes
Idaho,Past.Vaccin - No
Idaho,Past.Vaccin - Yes
Idaho,Racial.Equity - Better
Idaho,Racial.Equity - Dont know
Idaho,Racial.Equity - Equal
Idaho,Sex - Female
Idaho,Sex - Male
Idaho,S.Orientation - Dont know
Idaho,S.Orientation - LGB
Idaho,S.Orientation - Hetero
Idaho,SVI - High
Idaho,SVI - Low
Idaho,SVI - Moderate
Idaho,SVI - Unknown
Idaho,Non.Englsh.Language - No
Idaho,Non.Englsh.Language - Yes
Idaho,Work.School - No
Idaho,Work.School - Unemployed
Idaho,Work.School - Yes
Illinois,Age - 18 – 49
Illinois,Age - 50 – 64
Illinois,Age - 65+
Illinois,"Age.Race - 18 – 49, Black"
Illinois,"Age.Race - 18 – 49, Hispanic"
Illinois,"Age.Race - 18 – 49, Other"
Illinois,"Age.Race - 18 – 49, White"
Illinois,"Age.Race - 50 – 64, Black"
Illinois,"Age.Race - 50 – 64, Hispanic"
Illinois,"Age.Race - 50 – 64, Other"
Illinois,"Age.Race - 50 – 64, White"
Illinois,"Age.Race - 65+, Black"
Illinois,"Age.Race - 65+, Hispanic"
Illinois,"Age.Race - 65+, White"
Illinois,18+ Adults - 18+ Adults
Illinois,US.Born - US Born
Illinois,US.Born - Not US Born
Illinois,Fr.Fam.Vaccd - Many
Illinois,Fr.Fam.Vaccd - No_some
Illinois,Vacc.Info.Seek - Often.Sometimes
Illinois,Vacc.Info.Seek - Rarely.Never
Illinois,Covid.Concern - A little_not
Illinois,Covid.Concern - Very_Moderately
Illinois,Vaccine.Confiden - Not at all_Somewhat
Illinois,Vaccine.Confiden - Very
Illinois,Vaccine.Imprtnt - A little_not at all
Illinois,Vaccine.Imprtnt - Somewhat_very
Illinois,Disability - No
Illinois,Disability - Yes
Illinois,Ess.Wrkr.grp - Ess.Healthcare
Illinois,Ess.Wrkr.grp - Ess.Other
Illinois,Ess.Wrkr.grp - Frontline.Other
Illinois,Ess.Wrkr.grp - Not.Ess.Wrkr
Illinois,Ess.Wrkr.grp - School.Childcare
Illinois,Past.Covid - No
Illinois,Past.Covid - Yes
Illinois,G.Identity - Cisgender
Illinois,G.Identity - Dont know
Illinois,G.Identity - TG/Non bin
Illinois,Prim.Care.Providr.Status - No
Illinois,Prim.Care.Providr.Status - Yes
Illinois,Comorbidity - No
Illinois,Comorbidity - Yes
Illinois,Dr.Recommend.Boostr - No
Illinois,Dr.Recommend.Vacc - No
Illinois,Dr.Recommend.Vacc - Yes
Illinois,Insurance - Insured
Illinois,Insurance - Not insured
Illinois,Language - English
Illinois,Language - Spanish
Illinois,Mask.Use - Always.Often
Illinois,Mask.Use - Occasional.Never
Illinois,Mental.Health - Excellent.Good
Illinois,Mental.Health - Fair.Poor
Illinois,Rural.Urban - Rural
Illinois,Rural.Urban - Suburban
Illinois,Rural.Urban - Urban
Illinois,Political - Democrat
Illinois,Political - None
Illinois,Political - Unknown
Illinois,Political - Republican
Illinois,Pov.Status - <$75k
Illinois,Pov.Status - >=$75k
Illinois,Pov.Status - Below poverty
Illinois,Pov.Status - Unknown
Illinois,Pregnancy - Not pregnant
Illinois,Pregnancy - Trying to get pregnant
Illinois,Race.4lvl - Black
Illinois,Race.4lvl - Hispanic
Illinois,Race.4lvl - Other
Illinois,Race.4lvl - White
Illinois,Flu.Vacc - No
Illinois,Flu.Vacc - Yes
Illinois,Past.Vaccin - No
Illinois,Past.Vaccin - Yes
Illinois,Racial.Equity - Better
Illinois,Racial.Equity - Dont know
Illinois,Racial.Equity - Equal
Illinois,Racial.Equity - Worse
Illinois,Sex - Female
Illinois,Sex - Male
Illinois,S.Orientation - Dont know
Illinois,S.Orientation - LGB
Illinois,S.Orientation - Hetero
Illinois,SVI - High
Illinois,SVI - Low
Illinois,SVI - Moderate
Illinois,SVI - Unknown
Illinois,Non.Englsh.Language - No
Illinois,Non.Englsh.Language - Yes
Illinois,Work.School - No
Illinois,Work.School - Unemployed
Illinois,Work.School - Yes
Indiana,Age - 18 – 49
Indiana,Age - 50 – 64
Indiana,Age - 65+
Indiana,"Age.Race - 18 – 49, Black"
Indiana,"Age.Race - 18 – 49, Hispanic"
Indiana,"Age.Race - 18 – 49, Other"
Indiana,"Age.Race - 18 – 49, White"
Indiana,"Age.Race - 50 – 64, Black"
Indiana,"Age.Race - 50 – 64, White"
Indiana,"Age.Race - 65+, White"
Indiana,18+ Adults - 18+ Adults
Indiana,US.Born - US Born
Indiana,US.Born - Not US Born
Indiana,Fr.Fam.Vaccd - Many
Indiana,Fr.Fam.Vaccd - No_some
Indiana,Vacc.Info.Seek - Often.Sometimes
Indiana,Vacc.Info.Seek - Rarely.Never
Indiana,Covid.Concern - A little_not
Indiana,Covid.Concern - Very_Moderately
Indiana,Vaccine.Confiden - Not at all_Somewhat
Indiana,Vaccine.Confiden - Very
Indiana,Vaccine.Imprtnt - A little_not at all
Indiana,Vaccine.Imprtnt - Somewhat_very
Indiana,Disability - No
Indiana,Disability - Yes
Indiana,Ess.Wrkr.grp - Ess.Healthcare
Indiana,Ess.Wrkr.grp - Ess.Other
Indiana,Ess.Wrkr.grp - Frontline.Other
Indiana,Ess.Wrkr.grp - Not.Ess.Wrkr
Indiana,Ess.Wrkr.grp - School.Childcare
Indiana,Past.Covid - No
Indiana,Past.Covid - Yes
Indiana,G.Identity - Cisgender
Indiana,G.Identity - Dont know
Indiana,G.Identity - TG/Non bin
Indiana,Prim.Care.Providr.Status - No
Indiana,Prim.Care.Providr.Status - Yes
Indiana,Comorbidity - No
Indiana,Comorbidity - Yes
Indiana,Dr.Recommend.Boostr - No
Indiana,Dr.Recommend.Vacc - No
Indiana,Dr.Recommend.Vacc - Yes
Indiana,Insurance - Insured
Indiana,Insurance - Not insured
Indiana,Language - English
Indiana,Language - Spanish
Indiana,Mask.Use - Always.Often
Indiana,Mask.Use - Occasional.Never
Indiana,Mental.Health - Excellent.Good
Indiana,Mental.Health - Fair.Poor
Indiana,Rural.Urban - Rural
Indiana,Rural.Urban - Suburban
Indiana,Rural.Urban - Urban
Indiana,Political - Democrat
Indiana,Political - None
Indiana,Political - Unknown
Indiana,Political - Republican
Indiana,Pov.Status - <$75k
Indiana,Pov.Status - >=$75k
Indiana,Pov.Status - Below poverty
Indiana,Pov.Status - Unknown
Indiana,Pregnancy - Not pregnant
Indiana,Race.4lvl - Black
Indiana,Race.4lvl - Hispanic
Indiana,Race.4lvl - Other
Indiana,Race.4lvl - White
Indiana,Flu.Vacc - No
Indiana,Flu.Vacc - Yes
Indiana,Past.Vaccin - No
Indiana,Past.Vaccin - Yes
Indiana,Racial.Equity - Better
Indiana,Racial.Equity - Dont know
Indiana,Racial.Equity - Equal
Indiana,Racial.Equity - Worse
Indiana,Sex - Female
Indiana,Sex - Male
Indiana,S.Orientation - Dont know
Indiana,S.Orientation - LGB
Indiana,S.Orientation - Hetero
Indiana,SVI - High
Indiana,SVI - Low
Indiana,SVI - Moderate
Indiana,SVI - Unknown
Indiana,Non.Englsh.Language - No
Indiana,Non.Englsh.Language - Yes
Indiana,Work.School - No
Indiana,Work.School - Unemployed
Indiana,Work.School - Yes
Iowa,Age - 18 – 49
Iowa,Age - 50 – 64
Iowa,Age - 65+
Iowa,"Age.Race - 18 – 49, Hispanic"
Iowa,"Age.Race - 18 – 49, White"
Iowa,"Age.Race - 50 – 64, White"
Iowa,"Age.Race - 65+, White"
Iowa,18+ Adults - 18+ Adults
Iowa,US.Born - US Born
Iowa,US.Born - Not US Born
Iowa,Fr.Fam.Vaccd - Many
Iowa,Fr.Fam.Vaccd - No_some
Iowa,Vacc.Info.Seek - Often.Sometimes
Iowa,Vacc.Info.Seek - Rarely.Never
Iowa,Covid.Concern - A little_not
Iowa,Covid.Concern - Very_Moderately
Iowa,Vaccine.Confiden - Not at all_Somewhat
Iowa,Vaccine.Confiden - Very
Iowa,Vaccine.Imprtnt - A little_not at all
Iowa,Vaccine.Imprtnt - Somewhat_very
Iowa,Disability - No
Iowa,Disability - Yes
Iowa,Ess.Wrkr.grp - Ess.Healthcare
Iowa,Ess.Wrkr.grp - Ess.Other
Iowa,Ess.Wrkr.grp - Frontline.Other
Iowa,Ess.Wrkr.grp - Not.Ess.Wrkr
Iowa,Ess.Wrkr.grp - School.Childcare
Iowa,Past.Covid - No
Iowa,Past.Covid - Yes
Iowa,G.Identity - Cisgender
Iowa,G.Identity - Dont know
Iowa,G.Identity - TG/Non bin
Iowa,Prim.Care.Providr.Status - No
Iowa,Prim.Care.Providr.Status - Yes
Iowa,Comorbidity - No
Iowa,Comorbidity - Yes
Iowa,Dr.Recommend.Boostr - No
Iowa,Dr.Recommend.Vacc - No
Iowa,Dr.Recommend.Vacc - Yes
Iowa,Insurance - Insured
Iowa,Insurance - Not insured
Iowa,Language - English
Iowa,Mask.Use - Always.Often
Iowa,Mask.Use - Occasional.Never
Iowa,Mental.Health - Excellent.Good
Iowa,Mental.Health - Fair.Poor
Iowa,Rural.Urban - Rural
Iowa,Rural.Urban - Suburban
Iowa,Rural.Urban - Urban
Iowa,Political - Democrat
Iowa,Political - None
Iowa,Political - Unknown
Iowa,Political - Republican
Iowa,Pov.Status - <$75k
Iowa,Pov.Status - >=$75k
Iowa,Pov.Status - Below poverty
Iowa,Pov.Status - Unknown
Iowa,Pregnancy - Not pregnant
Iowa,Race.4lvl - Black
Iowa,Race.4lvl - Hispanic
Iowa,Race.4lvl - Other
Iowa,Race.4lvl - White
Iowa,Flu.Vacc - No
Iowa,Flu.Vacc - Yes
Iowa,Past.Vaccin - No
Iowa,Past.Vaccin - Yes
Iowa,Racial.Equity - Better
Iowa,Racial.Equity - Dont know
Iowa,Racial.Equity - Equal
Iowa,Sex - Female
Iowa,Sex - Male
Iowa,S.Orientation - Dont know
Iowa,S.Orientation - LGB
Iowa,S.Orientation - Hetero
Iowa,SVI - High
Iowa,SVI - Low
Iowa,SVI - Moderate
Iowa,SVI - Unknown
Iowa,Non.Englsh.Language - No
Iowa,Non.Englsh.Language - Yes
Iowa,Work.School - No
Iowa,Work.School - Unemployed
Iowa,Work.School - Yes
Kansas,Age - 18 – 49
Kansas,Age - 50 – 64
Kansas,Age - 65+
Kansas,"Age.Race - 18 – 49, Black"
Kansas,"Age.Race - 18 – 49, Hispanic"
Kansas,"Age.Race - 18 – 49, Other"
Kansas,"Age.Race - 18 – 49, White"
Kansas,"Age.Race - 50 – 64, White"
Kansas,"Age.Race - 65+, White"
Kansas,18+ Adults - 18+ Adults
Kansas,US.Born - US Born
Kansas,US.Born - Not US Born
Kansas,Fr.Fam.Vaccd - Many
Kansas,Fr.Fam.Vaccd - No_some
Kansas,Vacc.Info.Seek - Often.Sometimes
Kansas,Vacc.Info.Seek - Rarely.Never
Kansas,Covid.Concern - A little_not
Kansas,Covid.Concern - Very_Moderately
Kansas,Vaccine.Confiden - Not at all_Somewhat
Kansas,Vaccine.Confiden - Very
Kansas,Vaccine.Imprtnt - A little_not at all
Kansas,Vaccine.Imprtnt - Somewhat_very
Kansas,Disability - No
Kansas,Disability - Yes
Kansas,Ess.Wrkr.grp - Ess.Healthcare
Kansas,Ess.Wrkr.grp - Ess.Other
Kansas,Ess.Wrkr.grp - Frontline.Other
Kansas,Ess.Wrkr.grp - Not.Ess.Wrkr
Kansas,Ess.Wrkr.grp - School.Childcare
Kansas,Past.Covid - No
Kansas,Past.Covid - Yes
Kansas,G.Identity - Cisgender
Kansas,G.Identity - Dont know
